Day fraction since midnight on 	pH probe (pH)
0.637531542	3.925653696
0.637543133	3.927179098
0.637554723	3.937581778
0.637566267	3.951704502
0.637577857	3.945840836
0.637589447	3.951297045
0.637600991	3.935083628
0.637612569	3.92991662
0.637624136	3.933991671
0.637635726	3.952685595
0.637647293	3.948367119
0.63765886	3.951339006
0.63767045	3.91862464
0.637682017	3.925238371
0.637693584	3.925615072
0.637705163	3.94097352
0.63771673	3.951800585
0.63772832	3.944772244
0.637739898	3.92101121
0.637751454	3.903238535
0.637763044	3.901719809
0.637774611	3.906585217
0.637786201	3.914070368
0.637797756	3.909902573
0.637809323	3.918939829
0.637820913	3.929652691
0.63783248	3.918492794
0.637844047	3.911435366
0.637855637	3.915308476
0.637867204	3.924679995
0.637878771	3.912318707
0.637890362	3.913231611
0.637901928	3.90882349
0.637913495	3.905859947
0.637925086	3.909473181
0.637936641	3.919620276
0.637948231	3.933265686
0.637959798	3.920177221
0.637971388	3.911603689
0.637982955	3.906521082
0.637994522	3.911632776
0.638006089	3.918486357
0.638017679	3.914749861
0.638029235	3.889331579
0.638040825	3.87477994
0.638052392	3.881956101
0.638063959	3.891992807
0.638075549	3.880099535
0.638087116	3.890267849
0.638098683	3.905447483
0.63811025	3.918520689
0.638121828	3.921339274
0.638133418	3.916936636
0.638144985	3.911476135
0.638156575	3.920697928
0.638168142	3.939279318
0.638179709	3.934856653
0.638191276	3.908602715
0.638202843	3.89782548
0.638214422	3.902836561
0.638226012	3.895439863
0.638237579	3.907708645
0.638249146	3.907719135
0.638260736	3.912515879
0.638272303	3.899174213
0.63828387	3.899829149
0.638295437	3.89696312
0.638307015	3.873649597
0.638318606	3.883538485
0.638330173	3.887401819
0.638341739	3.887372732
0.63835333	3.901276827
0.638364897	3.900748968
0.638376464	3.890421152
0.63838803	3.910771132
0.638399632	3.908802509
0.638411199	3.887956142
0.638422766	3.896133661
0.638434333	3.886372805
0.638445923	3.862101317
0.63845749	3.857459545
0.63846908	3.810581684
0.638480647	3.811220408
0.638492203	3.847065449
0.638503793	3.857287645
0.63851536	3.839039087
0.638526927	3.861193657
0.638538494	3.893059492
0.638550084	3.887678385
0.638561651	3.890144348
0.638573218	3.89497757
0.638584796	3.898188353
0.638596386	3.903261423
0.638607953	3.914548159
0.63861952	3.922362566
0.638631087	3.922095776
0.638642677	3.92881155
0.638654244	3.929892778
0.638665811	3.936396122
0.63867739	3.939728022
0.63868898	3.938974857
0.638700547	3.946619272
0.638712114	3.958926201
0.638723681	3.970464468
0.638735271	3.979251385
0.638746838	3.986745119
0.638758405	3.9920187
0.638769983	3.997166157
0.638781573	4.003134728
0.63879314	4.010251045
0.638804707	4.014728546
0.638816274	4.019996643
0.638827864	4.028567791
0.638839431	4.03459549
0.638850998	4.042206287
0.6388626	4.048523426
0.638874144	4.054930687
0.638885734	4.059412003
0.638897301	4.066606045
0.638908868	4.071489811
0.638920458	4.076361179
0.638932025	4.079714298
0.638943592	4.082794666
0.638955193	4.085215092
0.638966737	4.088691235
0.638978327	4.091200352
0.638989894	4.094817638
0.639001461	4.098285675
0.639013051	4.104094505
0.639024618	4.027582645
0.639036208	3.858926058
0.639047764	3.836376429
0.639059331	3.853556395
0.639070921	3.816362143
0.639082488	3.833752871
0.639094055	3.834902525
0.639105645	3.826187849
0.639117212	3.844837427
0.639128779	3.866033077
0.639140357	3.88040781
0.639151924	3.891318798
0.639163514	3.895046473
0.639175081	3.880846262
0.639186648	3.864195347
0.639198238	3.863315105
0.639209805	3.829586029
0.639221372	3.823903322
0.639232962	3.834569693
0.639244529	3.845553398
0.639256096	3.85539937
0.639267686	3.84914875
0.639279242	3.850933313
0.639290832	3.84923768
0.639302399	3.848297596
0.639313966	3.827838182
0.639325556	3.851128817
0.639337123	3.852627516
0.63934869	3.852499962
0.63936028	3.868685007
0.639371835	3.875023127
0.639383425	3.872681618
0.639394992	3.859997988
0.639406559	3.850702524
0.639418149	3.846387386
0.639429716	3.847300768
0.639441283	3.856901407
0.639452873	3.870646954
0.639464428	3.874651909
0.639476019	3.866546631
0.639487586	3.862370729
0.639499152	3.869246006
0.639510743	3.872022629
0.63952231	3.876149178
0.639533876	3.879810095
0.639545443	3.872817278
0.639557022	3.86145401
0.639568612	3.855764389
0.639580179	3.859688282
0.639591746	3.855629683
0.639603336	3.843403816
0.639614903	3.840553284
0.63962647	3.844683647
0.639638037	3.857319355
0.639649639	3.85729456
0.639661206	3.852540255
0.639672772	3.845056772
0.639684339	3.843917608
0.63969593	3.821941137
0.639707496	3.801580429
0.639719063	3.817921639
0.63973063	3.826560497
0.639742209	3.839868784
0.639753799	3.827303886
0.639765366	3.830722332
0.639776933	3.843131781
0.639788523	3.85281992
0.63980009	3.848519564
0.639811657	3.833530903
0.639823224	3.839713574
0.639834802	3.838602305
0.639846392	3.830755711
0.639857959	3.827418566
0.639869526	3.822628975
0.639881093	3.824798584
0.639892683	3.826037645
0.63990425	3.832227469
0.639915818	3.828860283
0.639927396	3.808287859
0.639938987	3.801894665
0.639950554	3.816368818
0.639962144	3.812966108
0.639973689	3.826804638
0.639985279	3.824276209
0.639996846	3.830030203
0.640008437	3.818989992
0.640019992	3.830069304
0.640031583	3.834434032
0.64004315	3.840233564
0.640054717	3.854243517
0.640066284	3.852974892
0.640077875	3.849039555
0.640089442	3.852552652
0.640101032	3.856324673
0.640112588	3.86444521
0.640124179	3.874637842
0.640135746	3.871090889
0.640147313	3.874078274
0.64015888	3.877223969
0.640170471	3.878672123
0.640182038	3.884665966
0.640193605	3.878035307
0.640205184	3.905889034
0.640216751	3.887149334
0.640228342	3.833153725
0.640239909	3.82942605
0.640251476	3.827582359
0.640263067	3.83475852
0.640274634	3.838216782
0.640286201	3.850813389
0.640297803	3.844672442
0.640309347	3.839020491
0.640320938	4.016170025
0.640332505	4.046720505
0.640344072	3.270477057
0.640355663	3.473882675
0.64036723	3.542953491
0.640378797	3.575454712
0.640390376	3.627695799
0.640401943	3.681491852
0.640413533	3.69815135
0.640425101	3.697297335
0.640436668	3.732832909
0.640448258	3.883438349
0.640459837	3.860215664
0.640471404	3.809644938
0.640482972	3.798617125
0.640494539	3.678568602
0.640506129	3.724555254
0.640517697	3.816063404
