Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.612703295	10.20204258	10.20204258	116220.1094	1.870000005	7.092000008	0.500526316	0.805894737
0.612761176	10.20191002	10.20191002	116218.1641	1.669999957	6.933000088	0.500526316	0.805894737
0.612819049	10.20195389	10.20195389	116202.9219	1.590000033	6.69299984	0.500526316	0.805894737
0.612876906	10.2019701	10.2019701	116206.8281	1.460000038	6.467000008	0.500526316	0.805894737
0.612934784	10.20200062	10.20200062	116195.7422	1.429999948	6.249000073	0.500526316	0.805894737
0.612992653	10.20222092	10.20222092	116197.0703	1.5	6.09100008	0.500526316	0.805894737
0.61305052	10.20217133	10.20217133	116212.5156	1.549999952	5.875	0.500526316	0.805894737
0.613108386	10.20193958	10.20193958	116200.2578	1.460000038	5.703000069	0.500526316	0.805894737
0.613166254	10.20202351	10.20202351	116210.3984	1.450000048	5.59100008	0.500526316	0.805894737
0.61322414	10.2019558	10.2019558	116183.1172	1.389999986	5.56099987	0.500526316	0.805894737
0.613282	10.20211029	10.20211029	116189.0234	1.330000043	5.566999912	0.500526316	0.805894737
0.613339865	10.20206356	10.20206356	116193.4219	1.279999971	5.498000145	0.500526316	0.805894737
0.613397728	10.20202446	10.20202446	116187.4844	1.25	5.401000023	0.500526316	0.805894737
0.613455611	10.20223331	10.20223331	116183.8594	1.24000001	5.300000191	0.500526316	0.805894737
0.613513472	10.20204639	10.20204639	116180.0859	1.259999991	5.260000229	0.500526316	0.805894737
0.613571317	10.20206451	10.20206451	116172.6953	1.319999933	5.177999973	0.500526316	0.805894737
0.613629191	10.20188618	10.20188618	116170.2891	1.580000043	5.157000065	0.500526316	0.805894737
0.613687062	10.2019558	10.2019558	116160.3203	1.549999952	5.087999821	0.500526316	0.805894737
0.613744912	10.20197487	10.20197487	116193.6406	1.549999952	5.092999935	0.500526316	0.805894737
0.613802789	10.2020607	10.2020607	116179.8438	1.529999971	5.038000107	0.500526316	0.805894737
0.613860676	10.20208073	10.20208073	116174.2188	1.5	4.955999851	0.500526316	0.805894737
0.613918544	10.20209026	10.20209026	116158.6719	1.529999971	4.902999878	0.500526316	0.805894737
0.613976399	10.2020855	10.2020855	116156.0313	1.539999962	4.857999802	0.500526316	0.805894737
0.614034271	10.20200729	10.20200729	116146.7422	1.569999933	4.774000168	0.500526316	0.805894737
0.61409214	10.2017765	10.2017765	116159.4609	1.649999976	4.797999859	0.500526316	0.805894737
0.614150013	10.2020855	10.2020855	116143.2109	1.769999981	4.81099987	0.500526316	0.805894737
0.614207878	10.20199203	10.20199203	116161.1875	1.889999986	4.802000046	0.500526316	0.805894737
0.61426575	10.20188808	10.20188808	116147.1016	2.049999952	4.752999783	0.500526316	0.805894737
0.614323732	10.20203304	10.20203304	116148.7813	2.119999886	4.686999798	0.500526316	0.805894737
0.614381501	10.20191669	10.20191669	116151.9844	2.170000076	4.762000084	0.500526316	0.805894737
0.614439371	10.20222569	10.20222569	116142.8828	2.210000038	4.742000103	0.500526316	0.805894737
0.614497239	10.20200729	10.20200729	116141.6719	2.309999943	4.750999928	0.500526316	0.805894737
0.614555111	10.20191097	10.20191097	116145.9531	2.380000114	4.698999882	0.500526316	0.805894737
0.614613082	10.2019062	10.2019062	116141.0156	2.430000067	4.680999756	0.500526316	0.805894737
0.614670851	10.20197392	10.20197392	116130.7266	2.639999867	4.705999851	0.500526316	0.805894737
0.614728828	10.20194149	10.20194149	116124.2578	2.619999886	4.713999748	0.500526316	0.805894737
0.614786594	10.20211315	10.20211315	116136.0156	2.660000086	4.644999981	0.500526316	0.805894737
0.614844457	10.20199203	10.20199203	116143.7891	2.720000029	4.649000168	0.500526316	0.805894737
0.614902324	10.20202351	10.20202351	116131.375	2.75	4.637000084	0.500526316	0.805894737
0.614960195	10.20203209	10.20203209	116136.9063	2.809999943	4.618999958	0.500526316	0.805894737
0.615018176	10.2020216	10.2020216	116114.75	2.910000086	4.599999905	0.500526316	0.805894737
0.615076048	10.20186424	10.20186424	116098.4063	2.910000086	4.625999928	0.500526316	0.805894737
0.61513381	10.20191669	10.20191669	116100.0234	2.930000067	4.670000076	0.500526316	0.805894737
0.615191784	10.20200253	10.20200253	116093.8984	3	4.646999836	0.500526316	0.805894737
0.615249655	10.20209503	10.20209503	116110.3906	3	4.626999855	0.500526316	0.805894737
0.615307425	10.20199203	10.20199203	116096.1875	3.029999971	4.638000011	0.500526316	0.805894737
0.615365407	10.20185947	10.20185947	116103.5547	3.069999933	4.65899992	0.500526316	0.805894737
0.615423273	10.20230293	10.20230293	116095.8984	3.139999867	4.657999992	0.500526316	0.805894737
0.615481143	10.20201015	10.20201015	116087.2969	3.24000001	4.649000168	0.500526316	0.805894737
0.615539014	10.20194912	10.20194912	116083.6875	3.319999933	4.647999764	0.500526316	0.805894737
0.615596893	10.201931	10.201931	116080.3984	3.400000095	4.645999908	0.500526316	0.805894737
0.615654651	10.20220184	10.20220184	116071.4063	3.480000019	4.636000156	0.500526316	0.805894737
0.615712627	10.20207119	10.20207119	116075.7188	3.539999962	4.676000118	0.500526316	0.805894737
0.615770488	10.20204639	10.20204639	116055.2188	3.559999943	4.653999806	0.500526316	0.805894737
0.615828359	10.2020483	10.2020483	116055.8281	3.609999895	4.630000114	0.500526316	0.805894737
0.615886245	10.20225716	10.20225716	116059.9219	3.690000057	4.627999783	0.500526316	0.805894737
0.615944109	10.20204258	10.20204258	116063.1797	3.759999991	4.660999775	0.500526316	0.805894737
0.616001878	10.20212555	10.20212555	116032.7188	3.789999962	4.683000088	0.500526316	0.805894737
0.616059768	10.2018404	10.2018404	116041.6875	3.759999991	4.701000214	0.500526316	0.805894737
0.616117638	10.20204163	10.20204163	116046.7969	3.74000001	4.684000015	0.500526316	0.805894737
0.616175495	10.20197773	10.20197773	116055.5547	3.720000029	4.677000046	0.500526316	0.805894737
0.616233377	10.201931	10.201931	116044.5547	3.200000048	4.665999889	0.500526316	0.805894737
0.616291238	10.2020092	10.2020092	116044.2656	2.940000057	4.696000099	0.500526316	0.805894737
0.616349114	10.20209217	10.20209217	116036.7266	2.769999981	4.690999985	0.500526316	0.805894737
0.616406984	10.202178	10.202178	116046.2109	2.690000057	4.684999943	0.500526316	0.805894737
0.61646486	10.20188522	10.20188522	116037.8047	2.650000095	4.663000107	0.500526316	0.805894737
0.616522722	10.20191383	10.20191383	116018.6953	2.630000114	4.670000076	0.500526316	0.805894737
0.616580711	10.20180988	10.20180988	116020.3516	2.619999886	4.647999764	0.500526316	0.805894737
0.616638465	10.20201397	10.20201397	116009.7656	2.650000095	4.623000145	0.500526316	0.805894737
0.616696339	10.20196724	10.20196724	115997.875	2.680000067	4.617000103	0.500526316	0.805894737
0.616754211	10.20202541	10.20202541	116012.9375	2.700000048	4.619999886	0.500526316	0.805894737
0.616812186	10.20193958	10.20193958	116018.0938	2.74000001	4.644999981	0.500526316	0.805894737
0.616870074	10.20220184	10.20220184	115995.9766	2.769999981	4.644000053	0.500526316	0.805894737
0.616927822	10.2019701	10.2019701	115990.0859	2.789999962	4.654999733	0.500526316	0.805894737
0.616985687	10.20195675	10.20195675	115994.2031	2.869999886	4.625999928	0.500526316	0.805894737
0.61704367	10.20207596	10.20207596	115986.5156	2.940000057	4.610000134	0.500526316	0.805894737
0.617101537	10.20188522	10.20188522	115973.4766	2.940000057	4.605000019	0.500526316	0.805894737
0.617159411	10.20208836	10.20208836	115960.5547	2.950000048	4.63199997	0.500526316	0.805894737
0.617217175	10.20207119	10.20207119	115985.3438	2.980000019	4.664000034	0.500526316	0.805894737
0.617275044	10.20194721	10.20194721	115959.4219	2.99000001	4.690000057	0.500526316	0.805894737
0.61733302	10.20204353	10.20204353	115977.0547	2.980000019	4.71999979	0.500526316	0.805894737
0.617390896	10.20217705	10.20217705	115967.5703	3	4.765999794	0.500526316	0.805894737
0.617448756	10.20199966	10.20199966	115947.3906	3.019999981	4.777999878	0.500526316	0.805894737
0.617506639	10.20180416	10.20180416	115940.1641	3.039999962	4.75	0.500526316	0.805894737
0.617564512	10.20189285	10.20189285	115946.9688	3.079999924	4.767000198	0.500526316	0.805894737
0.617622385	10.20194244	10.20194244	115935.0078	3.079999924	4.782000065	0.500526316	0.805894737
0.617680242	10.2019701	10.2019701	115931.9922	3.109999895	4.802999973	0.500526316	0.805894737
0.617738124	10.20217705	10.20217705	115924.9297	3.130000114	4.796999931	0.500526316	0.805894737
0.617795983	10.20211411	10.20211411	115921.3047	3.150000095	4.797999859	0.500526316	0.805894737
0.617853847	10.20223999	10.20223999	115910.0313	3.180000067	4.800000191	0.500526316	0.805894737
0.617911724	10.20202065	10.20202065	115910.3438	3.210000038	4.772999764	0.500526316	0.805894737
0.617969591	10.2021656	10.2021656	115915.9219	3.259999991	4.763999939	0.500526316	0.805894737
0.618027459	10.20184135	10.20184135	115921.6953	3.289999962	4.710000038	0.500526316	0.805894737
0.618085334	10.20205593	10.20205593	115928.2969	3.309999943	4.713999748	0.500526316	0.805894737
0.618143204	10.20205021	10.20205021	115929.5938	3.359999895	4.731999874	0.500526316	0.805894737
0.618201089	10.20193863	10.20193863	115928.9297	3.400000095	4.72300005	0.500526316	0.805894737
0.618258962	10.2020855	10.2020855	115936.6094	3.420000076	4.69299984	0.500526316	0.805894737
0.618316824	10.20195007	10.20195007	115941.0469	3.440000057	4.739999771	0.500526316	0.805894737
0.618374683	10.2020998	10.2020998	115945.6797	3.460000038	4.709000111	0.500526316	0.805894737
0.618432554	10.20210171	10.20210171	115947.6328	3.470000029	4.717000008	0.500526316	0.805894737
0.618490418	10.20184994	10.20184994	115965.2188	3.5	4.705999851	0.500526316	0.805894737
0.618548302	10.2020607	10.2020607	115970.1172	3.519999981	4.732999802	0.500526316	0.805894737
0.618606172	10.20189285	10.20189285	115994.1484	3.549999952	4.743999958	0.500526316	0.805894737
0.618664026	10.20196152	10.20196152	115982.1875	3.559999943	4.710999966	0.500526316	0.805894737
0.618721905	10.20204258	10.20204258	115989.9844	3.579999924	4.717999935	0.500526316	0.805894737
0.618779774	10.2020359	10.2020359	115998.2891	3.609999895	4.75699997	0.500526316	0.805894737
0.618837654	10.20201492	10.20201492	115989.2969	3.630000114	4.765999794	0.500526316	0.805894737
0.618895508	10.20213509	10.20213509	116002.1719	3.660000086	4.730999947	0.500526316	0.805894737
0.61895339	10.20198441	10.20198441	116002.0156	3.670000076	4.698999882	0.500526316	0.805894737
0.61901126	10.20201969	10.20201969	116013.4063	3.690000057	4.711999893	0.500526316	0.805894737
0.619069136	10.20217419	10.20217419	116016.8281	3.680000067	4.697000027	0.500526316	0.805894737
0.61912701	10.20193863	10.20193863	116035.3672	3.690000057	4.697999954	0.500526316	0.805894737
0.61918488	10.20208263	10.20208263	116040.3281	3.690000057	4.671999931	0.500526316	0.805894737
0.619242746	10.20209885	10.20209885	116028.9297	3.680000067	4.680999756	0.500526316	0.805894737
0.619300607	10.20207882	10.20207882	116055.0625	3.700000048	4.717999935	0.500526316	0.805894737
0.619358488	10.20213032	10.20213032	116049.5313	3.730000019	4.695000172	0.500526316	0.805894737
0.61941636	10.20200348	10.20200348	116044.7969	4.380000114	4.730000019	0.500526316	0.805894737
0.619474216	10.20192146	10.20192146	116049.4609	4.150000095	4.735000134	0.500526316	0.805894737
0.619532094	10.20196438	10.20196438	116069.0703	4	4.742000103	0.500526316	0.805894737
0.61958995	10.20198917	10.20198917	116072.7266	3.950000048	4.720999718	0.500526316	0.805894737
0.619647842	10.20200348	10.20200348	116077.3125	3.920000076	4.727000237	0.500526316	0.805894737
0.619705712	10.20214939	10.20214939	116068.5469	3.880000114	4.710000038	0.500526316	0.805894737
0.619763566	10.20207024	10.20207024	116088.3906	3.859999895	4.71600008	0.500526316	0.805894737
0.619821453	10.20210361	10.20210361	116100.3984	3.930000067	4.717999935	0.500526316	0.805894737
0.619879303	10.20217037	10.20217037	116091.2656	3.940000057	4.713999748	0.500526316	0.805894737
0.619937192	10.20208454	10.20208454	116096.1328	3.940000057	4.710000038	0.500526316	0.805894737
0.619995054	10.20192432	10.20192432	116108.5938	3.970000029	4.712999821	0.500526316	0.805894737
0.620052914	10.20199013	10.20199013	116107.9531	4.010000229	4.745999813	0.500526316	0.805894737
0.62011079	10.2018528	10.2018528	116111.7031	4.039999962	4.727000237	0.500526316	0.805894737
0.620168668	10.202178	10.202178	116122.8359	4.059999943	4.699999809	0.500526316	0.805894737
0.62022653	10.20212746	10.20212746	116117.7422	4.079999924	4.723999977	0.500526316	0.805894737
0.620284406	10.20206738	10.20206738	116126.625	4.079999924	4.675000191	0.500526316	0.805894737
0.620342269	10.20209026	10.20209026	116119.9766	4.099999905	4.653999806	0.500526316	0.805894737
0.620400147	10.2021246	10.2021246	116140.1406	4.110000134	4.665999889	0.500526316	0.805894737
0.620458024	10.20195198	10.20195198	116140.5938	4.119999886	4.684000015	0.500526316	0.805894737
0.62051589	10.20209312	10.20209312	116132.1953	4.139999867	4.69299984	0.500526316	0.805894737
0.620573761	10.20207405	10.20207405	116151.3516	4.159999847	4.68900013	0.500526316	0.805894737
0.620631626	10.20210838	10.20210838	116143.25	4.159999847	4.684999943	0.500526316	0.805894737
0.620689488	10.20196819	10.20196819	116145.1797	4.159999847	4.657999992	0.500526316	0.805894737
0.620747374	10.20203209	10.20203209	116152.1797	4.179999828	4.649000168	0.500526316	0.805894737
0.620805225	10.2020998	10.2020998	116152.3359	4.210000038	4.638000011	0.500526316	0.805894737
0.620863094	10.20216846	10.20216846	116151.3906	4.230000019	4.640999794	0.500526316	0.805894737
0.620920977	10.2019825	10.2019825	116157.7734	4.239999771	4.642000198	0.500526316	0.805894737
0.620978836	10.20208454	10.20208454	116171.6875	4.269999981	4.680999756	0.500526316	0.805894737
0.621036707	10.20208168	10.20208168	116165.8672	4.300000191	4.659999847	0.500526316	0.805894737
0.621094576	10.20192909	10.20192909	116170.5703	4.340000153	4.620999813	0.500526316	0.805894737
0.621152448	10.20199966	10.20199966	116175.3281	4.360000134	4.645999908	0.500526316	0.805894737
0.621210342	10.20201588	10.20201588	116196.9375	4.340000153	4.654999733	0.500526316	0.805894737
0.621268214	10.20225716	10.20225716	116178.3359	4.340000153	4.630000114	0.500526316	0.805894737
0.621326085	10.2019968	10.2019968	116181.2109	4.340000153	4.618999958	0.500526316	0.805894737
0.621383973	10.20196438	10.20196438	116191.9844	4.349999905	4.642000198	0.500526316	0.805894737
0.621441837	10.20188522	10.20188522	116203.3125	4.340000153	4.645999908	0.500526316	0.805894737
0.621499715	10.20202827	10.20202827	116212.3594	4.329999924	4.623000145	0.500526316	0.805894737
0.621557569	10.20188522	10.20188522	116190.1719	4.360000134	4.599999905	0.500526316	0.805894737
0.621615435	10.20196438	10.20196438	116206.9609	4.380000114	4.559000015	0.500526316	0.805894737
0.621673304	10.20190716	10.20190716	116210.6016	4.380000114	4.53399992	0.500526316	0.805894737
0.621731188	10.20214176	10.20214176	116204.9141	4.400000095	4.529999733	0.500526316	0.805894737
0.621789044	10.20230007	10.20230007	116205.1484	4.409999847	4.50699997	0.500526316	0.805894737
0.621846913	10.20209694	10.20209694	116231.5469	4.420000076	4.532000065	0.500526316	0.805894737
0.621904801	10.20205402	10.20205402	116213.6719	4.429999828	4.550000191	0.500526316	0.805894737
0.621962668	10.20198822	10.20198822	116222.9063	4.489999771	4.543000221	0.500526316	0.805894737
0.62202054	10.20198917	10.20198917	116237.6797	4.519999981	4.550000191	0.500526316	0.805894737
0.622078415	10.20199013	10.20199013	116222.8906	4.5	4.539000034	0.500526316	0.805894737
0.622136284	10.20192528	10.20192528	116218.2266	4.480000019	4.426000118	0.500526316	0.805894737
0.622194151	10.20206451	10.20206451	116224.3906	4.489999771	4.382999897	0.500526316	0.805894737
0.62225201	10.20210266	10.20210266	116245.3203	4.619999886	4.340000153	0.500526316	0.805894737
0.622309873	10.20195007	10.20195007	116244.9531	4.570000172	4.395999908	0.500526316	0.805894737
0.622367753	10.20201683	10.20201683	116254.5625	4.46999979	4.322000027	0.500526316	0.805894737
0.622425614	10.20181274	10.20181274	116240.0469	4.480000019	4.295000076	0.500526316	0.805894737
0.622483495	10.2021389	10.2021389	116235.8125	4.529999733	4.327000141	0.500526316	0.805894737
0.622541368	10.20204163	10.20204163	116231.3516	4.46999979	4.27699995	0.500526316	0.805894737
0.622599244	10.20216465	10.20216465	116250.0703	4.480000019	4.342000008	0.500526316	0.805894737
0.622657092	10.20197392	10.20197392	116233.8359	5.010000229	4.333000183	0.500526316	0.805894737
0.622714974	10.20205307	10.20205307	116229.1016	5.150000095	4.327000141	0.500526316	0.805894737
0.622772856	10.20208454	10.20208454	116237.1094	4.900000095	4.300000191	0.500526316	0.805894737
0.622830716	10.20194626	10.20194626	116222.6719	4.699999809	4.249000073	0.500526316	0.805894737
0.622888584	10.20181465	10.20181465	116233.4766	4.610000134	4.165999889	0.500526316	0.805894737
0.622946463	10.20190334	10.20190334	116237.6953	4.679999828	4.177999973	0.500526316	0.805894737
0.62300434	10.20204544	10.20204544	116261.0625	4.769999981	4.289999962	0.500526316	0.805894737
0.623062203	10.20203781	10.20203781	116259.1094	4.670000076	4.335000038	0.500526316	0.805894737
0.623120066	10.20197773	10.20197773	116250.3359	4.559999943	4.241000176	0.500526316	0.805894737
0.623177935	10.20192337	10.20192337	116277.9844	4.489999771	4.262000084	0.500526316	0.805894737
0.623235817	10.20198441	10.20198441	116261.7422	4.360000134	4.263999939	0.500526316	0.805894737
0.623293669	10.20216465	10.20216465	116267.1719	4.239999771	4.220999718	0.500526316	0.805894737
0.62335155	10.20198917	10.20198917	116267.3984	4.25	4.145999908	0.500526316	0.805894737
0.623409398	10.20204735	10.20204735	116280.3203	4.300000191	4.12899971	0.500526316	0.805894737
0.62346728	10.2020607	10.2020607	116275.8828	4.230000019	4.121999741	0.500526316	0.805894737
0.623525139	10.20192051	10.20192051	116272.7656	4.25	4.085000038	0.500526316	0.805894737
0.623583006	10.20191288	10.20191288	116269.2656	4.159999847	4.006000042	0.500526316	0.805894737
0.623640888	10.20196629	10.20196629	116259.4844	4.170000076	4.09100008	0.500526316	0.805894737
0.623698862	10.20212078	10.20212078	116272.6797	4.090000153	4.161999703	0.500526316	0.805894737
