Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.648062525	10.20219803	10.20219803	116099.3906	0.909999967	1.565000057	0.500526316	0.805894737
0.648120287	10.20236206	10.20236206	116074.2109	0.699999988	2.805999994	0.500526316	0.805894737
0.648178256	10.20236397	10.20236397	116086.5	0.540000022	2.876999855	0.500526316	0.805894737
0.648236023	10.20234203	10.20234203	116096.1328	0.430000007	2.782000065	0.500526316	0.805894737
0.648293994	10.20232296	10.20232296	116079.8984	0.370000005	2.618000031	0.500526316	0.805894737
0.648351889	10.20214844	10.20214844	116072.3281	0.319999993	2.480999947	0.500526316	0.805894737
0.648409737	10.20236969	10.20236969	116071.2109	0.289999992	2.43599987	0.500526316	0.805894737
0.648467606	10.20238686	10.20238686	116057.4844	0.270000011	2.5	0.500526316	0.805894737
0.648525378	10.20233822	10.20233822	116063.2031	0.259999991	2.638999939	0.500526316	0.805894737
0.648583355	10.20226955	10.20226955	116059.7891	0.25	2.802000046	0.500526316	0.805894737
0.648641146	10.20229626	10.20229626	116066.3516	0.230000004	2.968999863	0.500526316	0.805894737
0.648699051	10.20245075	10.20245075	116048.6641	0.209999993	3.197000027	0.500526316	0.805894737
0.64875693	10.20244503	10.20244503	116044.3906	0.200000003	3.315000057	0.500526316	0.805894737
0.64881479	10.20215321	10.20215321	116041.5	0.189999998	3.851999998	0.500526316	0.805894737
0.648872655	10.20231056	10.20231056	116051.2969	0.180000007	3.78399992	0.500526316	0.805894737
0.648930519	10.20235348	10.20235348	116041.6016	0.170000002	3.737999916	0.500526316	0.805894737
0.648988403	10.20229435	10.20229435	116037.0313	0.170000002	3.729000092	0.500526316	0.805894737
0.649046268	10.20234776	10.20234776	116022.3281	0.170000002	3.746999979	0.500526316	0.805894737
0.649104148	10.20224476	10.20224476	116017.6094	0.159999996	3.780999899	0.500526316	0.805894737
0.649162012	10.20246887	10.20246887	116032.4453	0.159999996	3.802000046	0.500526316	0.805894737
0.649219891	10.20231533	10.20231533	116025.6328	0.170000002	3.812999964	0.500526316	0.805894737
0.649277758	10.20230675	10.20230675	116026.5234	0.170000002	3.838999987	0.500526316	0.805894737
0.649335606	10.20232677	10.20232677	115994.4688	0.170000002	3.878999949	0.500526316	0.805894737
0.649393499	10.20227337	10.20227337	116011.2422	0.170000002	3.900000095	0.500526316	0.805894737
0.649451354	10.20228291	10.20228291	116003.0313	0.170000002	3.930999994	0.500526316	0.805894737
0.649509239	10.20232487	10.20232487	116003.6641	0.170000002	3.946000099	0.500526316	0.805894737
0.64956709	10.20228004	10.20228004	116009.8438	0.170000002	3.944999933	0.500526316	0.805894737
0.64962497	10.20236397	10.20236397	115994.1719	0.180000007	3.947000027	0.500526316	0.805894737
0.649682831	10.20232296	10.20232296	115976.2891	0.189999998	4.043000221	0.500526316	0.805894737
0.649740716	10.20226574	10.20226574	115967.5938	0.200000003	4.142000198	0.500526316	0.805894737
0.649798582	10.20230293	10.20230293	115968.7969	0.209999993	4.105000019	0.500526316	0.805894737
0.64985644	10.20229244	10.20229244	115969.125	0.219999999	4.114999771	0.500526316	0.805894737
0.649914313	10.20234489	10.20234489	115949.6406	0.230000004	4.080999851	0.500526316	0.805894737
0.649972177	10.20226765	10.20226765	115969.4453	0.25	4.099999905	0.500526316	0.805894737
0.650030055	10.20241261	10.20241261	115970.8828	0.25	4.06099987	0.500526316	0.805894737
0.650087926	10.20245171	10.20245171	115941.1641	0.259999991	4.002999783	0.500526316	0.805894737
0.650145801	10.20238495	10.20238495	115935.3125	0.270000011	3.98300004	0.500526316	0.805894737
0.650203667	10.20246124	10.20246124	115930.3594	0.289999992	3.964999914	0.500526316	0.805894737
0.650261532	10.20221519	10.20221519	115935.5	0.310000002	3.964999914	0.500526316	0.805894737
0.650319396	10.20233727	10.20233727	115925.9531	0.329999983	3.980000019	0.500526316	0.805894737
0.650377283	10.20237064	10.20237064	115944.0625	0.340000004	3.950999975	0.500526316	0.805894737
0.650435153	10.20234776	10.20234776	115909.3359	0.360000014	4.019999981	0.500526316	0.805894737
0.65049301	10.20234394	10.20234394	115922.2891	0.379999995	3.976999998	0.500526316	0.805894737
0.650550894	10.20230579	10.20230579	115915.0625	0.400000006	3.959000111	0.500526316	0.805894737
0.650608743	10.20248604	10.20248604	115907.3828	0.409999996	3.960999966	0.500526316	0.805894737
0.650666622	10.20228004	10.20228004	115890.7188	0.430000007	3.947000027	0.500526316	0.805894737
0.650724542	10.20231628	10.20231628	115893.5703	0.449999988	3.928999901	0.500526316	0.805894737
0.650782423	10.20234108	10.20234108	115897.3281	0.460000008	3.934000015	0.500526316	0.805894737
0.650840299	10.20226288	10.20226288	115884.3672	0.469999999	3.915999889	0.500526316	0.805894737
0.650898163	10.20239449	10.20239449	115899.6719	0.5	3.917000055	0.500526316	0.805894737
0.650956023	10.20234585	10.20234585	115883.5703	0.529999971	3.869999886	0.500526316	0.805894737
0.651013909	10.20243073	10.20243073	115883.2422	0.579999983	3.869999886	0.500526316	0.805894737
0.651071762	10.20248413	10.20248413	115892.4844	0.589999974	3.901000023	0.500526316	0.805894737
0.651129646	10.20246983	10.20246983	115891.1875	0.600000024	3.902999878	0.500526316	0.805894737
0.651187478	10.2023592	10.2023592	115901.9141	0.620000005	3.889999867	0.500526316	0.805894737
0.651245356	10.20231247	10.20231247	115911.3906	0.639999986	3.86500001	0.500526316	0.805894737
0.651303228	10.20233822	10.20233822	115933.9766	0.659999967	3.875	0.500526316	0.805894737
0.651361102	10.20232677	10.20232677	115924.9844	0.699999988	3.862999916	0.500526316	0.805894737
0.651418956	10.20237637	10.20237637	115934.0781	0.730000019	3.90199995	0.500526316	0.805894737
0.65147683	10.20229912	10.20229912	115926.1719	0.769999981	3.898000002	0.500526316	0.805894737
0.651534691	10.20245171	10.20245171	115949.3672	0.790000022	4.169000149	0.500526316	0.805894737
0.651592563	10.20240593	10.20240593	115959.4141	0.819999993	4.092999935	0.500526316	0.805894737
0.651650435	10.202384	10.202384	115976.2891	0.839999974	4.076000214	0.500526316	0.805894737
0.651708312	10.20229244	10.20229244	115976.7656	0.870000005	4.011000156	0.500526316	0.805894737
0.651766169	10.20242214	10.20242214	115957.2266	0.889999986	3.931999922	0.500526316	0.805894737
0.651824048	10.20235157	10.20235157	115976.1719	0.909999967	3.931999922	0.500526316	0.805894737
0.651881925	10.20247078	10.20247078	115986.0938	0.949999988	3.910000086	0.500526316	0.805894737
0.651939785	10.20233727	10.20233727	115995.2344	0.980000019	3.888999939	0.500526316	0.805894737
0.651997652	10.2025013	10.2025013	115999.6641	1	3.856999874	0.500526316	0.805894737
0.652055532	10.20243835	10.20243835	116016.2734	1.019999981	3.832000017	0.500526316	0.805894737
0.652113399	10.20241737	10.20241737	116007.3203	1.069999933	3.845999956	0.500526316	0.805894737
0.652171278	10.20224762	10.20224762	116016.9922	1.090000033	3.858999968	0.500526316	0.805894737
0.652229131	10.20231152	10.20231152	116021.0469	1.110000014	3.861999989	0.500526316	0.805894737
0.652287007	10.20241165	10.20241165	116034.0078	1.139999986	3.897000074	0.500526316	0.805894737
0.652344909	10.2023468	10.2023468	116027.7578	1.169999957	3.888000011	0.500526316	0.805894737
0.652402788	10.20225716	10.20225716	116045.7266	1.200000048	3.904999971	0.500526316	0.805894737
0.65246065	10.20233631	10.20233631	116055.5938	1.220000029	3.90199995	0.500526316	0.805894737
0.652518518	10.2026329	10.2026329	116071.1484	1.259999991	3.90899992	0.500526316	0.805894737
0.652576404	10.20245171	10.20245171	116044.9219	1.279999971	3.931999922	0.500526316	0.805894737
0.652634257	10.20235062	10.20235062	116064.9219	1.289999962	3.983999968	0.500526316	0.805894737
0.652692145	10.20238304	10.20238304	116069.4609	1.299999952	3.944000006	0.500526316	0.805894737
0.652750004	10.20240879	10.20240879	116073.6484	1.319999933	3.914000034	0.500526316	0.805894737
0.652807915	10.20231342	10.20231342	116077.6406	1.350000024	3.913000107	0.500526316	0.805894737
0.652865686	10.20232773	10.20232773	116075.1953	1.389999986	3.921000004	0.500526316	0.805894737
0.652923668	10.20248318	10.20248318	116081.3672	1.419999957	3.922999859	0.500526316	0.805894737
0.652981531	10.20242214	10.20242214	116094.8672	1.429999948	3.948999882	0.500526316	0.805894737
0.653039399	10.20236778	10.20236778	116091.3125	1.470000029	3.994999886	0.500526316	0.805894737
0.653097264	10.20246124	10.20246124	116111.2891	1.49000001	3.967000008	0.500526316	0.805894737
0.653155136	10.20226383	10.20226383	116102.4453	1.49000001	3.953000069	0.500526316	0.805894737
0.653213013	10.20236874	10.20236874	116137.2578	1.519999981	3.993000031	0.500526316	0.805894737
0.653270874	10.20249653	10.20249653	116134.0625	1.549999952	3.992000103	0.500526316	0.805894737
0.653328758	10.20240116	10.20240116	116129.1875	1.580000043	3.96600008	0.500526316	0.805894737
0.65338662	10.20236111	10.20236111	116129.8906	1.600000024	3.994999886	0.500526316	0.805894737
0.653444497	10.20244884	10.20244884	116138.625	1.620000005	3.990999937	0.500526316	0.805894737
0.653502369	10.20259762	10.20259762	116136.5938	1.669999957	3.986000061	0.500526316	0.805894737
0.653560224	10.20237637	10.20237637	116135.1953	1.669999957	3.992000103	0.500526316	0.805894737
0.653618102	10.20233059	10.20233059	116143.5547	1.690000057	4.011000156	0.500526316	0.805894737
0.653675979	10.2022562	10.2022562	116150.5625	1.720000029	3.98300004	0.500526316	0.805894737
0.653733844	10.20245552	10.20245552	116168.8125	1.720000029	3.980999947	0.500526316	0.805894737
0.65379171	10.20232487	10.20232487	116165.7734	1.74000001	3.992000103	0.500526316	0.805894737
