Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.836136472	10.20214653	10.20214653	114640.5	1.629999995	0	0.500526316	0.805894737
0.836194343	10.20235252	10.20235252	114657.3906	2.859999895	0	0.500526316	0.805894737
0.836252204	10.20230675	10.20230675	114660.4688	3.410000086	0	0.500526316	0.805894737
0.836310082	10.20232773	10.20232773	114662.2344	3.329999924	0	0.500526316	0.805894737
0.836367928	10.20234776	10.20234776	114681.1641	2.75	0	0.500526316	0.805894737
0.836425803	10.20239067	10.20239067	114684.9453	2.380000114	0.011	0.500526316	0.805894737
0.836483661	10.2023983	10.2023983	114701.0313	2.059999943	1.394000053	0.500526316	0.805894737
0.83654153	10.2023716	10.2023716	114706.8047	1.970000029	2.691999912	0.500526316	0.805894737
0.836599407	10.20221329	10.20221329	114721.7344	1.850000024	3.651000023	0.500526316	0.805894737
0.836657396	10.20244694	10.20244694	114705.3516	1.480000019	4.381000042	0.500526316	0.805894737
0.836715145	10.20226383	10.20226383	114726.7031	1.399999976	5.001999855	0.500526316	0.805894737
0.836773014	10.20221901	10.20221901	114741.0313	1.549999952	5.722000122	0.500526316	0.805894737
0.836830898	10.2023592	10.2023592	114744.8125	1.529999971	6.455999851	0.500526316	0.805894737
0.836888754	10.20223522	10.20223522	114770.2344	1.330000043	6.998000145	0.500526316	0.805894737
0.836946636	10.20253658	10.20253658	114770.1406	1.440000057	7.309000015	0.500526316	0.805894737
0.837004514	10.2023592	10.2023592	114773.6797	1.24000001	7.536999703	0.500526316	0.805894737
0.837062393	10.20222759	10.20222759	114788.2109	1.389999986	7.477000237	0.500526316	0.805894737
0.837120264	10.20232105	10.20232105	114789.9766	1.389999986	7.281000137	0.500526316	0.805894737
0.837178138	10.20228004	10.20228004	114784.1875	1.299999952	7.072999954	0.500526316	0.805894737
0.837236012	10.20237827	10.20237827	114806.1172	1.350000024	6.867000103	0.500526316	0.805894737
0.837293867	10.20232964	10.20232964	114803.2266	1.379999995	6.750999928	0.500526316	0.805894737
0.837351744	10.20240879	10.20240879	114811.1406	1.470000029	6.609000206	0.500526316	0.805894737
0.837409621	10.20247364	10.20247364	114835.3672	1.409999967	6.502999783	0.500526316	0.805894737
0.837467489	10.20246601	10.20246601	114833.9453	1.509999991	6.409999847	0.500526316	0.805894737
0.837525363	10.20226288	10.20226288	114838.1484	1.759999991	6.288000107	0.500526316	0.805894737
0.83758322	10.20217514	10.20217514	114845.5703	1.840000033	6.139999867	0.500526316	0.805894737
0.837641094	10.20235538	10.20235538	114851.4609	2.420000076	6.133999825	0.500526316	0.805894737
0.837698959	10.20233631	10.20233631	114858.5313	2.24000001	6.028999806	0.500526316	0.805894737
0.837756825	10.20233154	10.20233154	114857.8359	2.359999895	5.918000221	0.500526316	0.805894737
0.837814716	10.20227814	10.20227814	114877.1641	2.809999943	5.845999718	0.500526316	0.805894737
0.837872681	10.20250416	10.20250416	114886.9219	3.259999991	5.981999874	0.500526316	0.805894737
0.837930562	10.20246983	10.20246983	114890.8281	3.440000057	5.93200016	0.500526316	0.805894737
0.837988314	10.20234108	10.20234108	114905.5469	3.089999914	5.862999916	0.500526316	0.805894737
0.838046182	10.20224667	10.20224667	114904.1719	2.839999914	5.767000198	0.500526316	0.805894737
0.838104065	10.20234776	10.20234776	114911.25	2.460000038	5.745999813	0.500526316	0.805894737
0.83816194	10.20227337	10.20227337	114923.9688	2.420000076	5.703000069	0.500526316	0.805894737
0.838219878	10.20236397	10.20236397	114921.1719	2.079999924	5.657000065	0.500526316	0.805894737
0.838277752	10.20236969	10.20236969	114957.5391	2.180000067	5.624000073	0.500526316	0.805894737
0.838335618	10.20243359	10.20243359	114941.9141	2.019999981	5.627999783	0.500526316	0.805894737
0.838393481	10.20241165	10.20241165	114953.1094	2.079999924	5.632999897	0.500526316	0.805894737
0.838451308	10.20230103	10.20230103	114947.2891	2.180000067	5.612999916	0.500526316	0.805894737
0.838509173	10.20226192	10.20226192	114966.375	2.029999971	5.585000038	0.500526316	0.805894737
0.838567036	10.20238876	10.20238876	114960.5703	1.970000029	5.583000183	0.500526316	0.805894737
0.838624915	10.20232105	10.20232105	114976.0938	1.960000038	5.590000153	0.500526316	0.805894737
0.838682782	10.20236874	10.20236874	114978.0547	1.899999976	5.578000069	0.500526316	0.805894737
0.838740661	10.20229054	10.20229054	114992.2188	1.919999957	5.571000099	0.500526316	0.805894737
0.83879852	10.20231247	10.20231247	114983.9297	2.039999962	5.539999962	0.500526316	0.805894737
0.838856399	10.2025013	10.2025013	114988.3828	2.470000029	5.605000019	0.500526316	0.805894737
0.83891428	10.20241261	10.20241261	115008.0547	2.329999924	5.581999779	0.500526316	0.805894737
0.838972181	10.20232677	10.20232677	115008.875	2.799999952	5.56799984	0.500526316	0.805894737
0.839030047	10.20231724	10.20231724	115002.9531	2.609999895	5.566999912	0.500526316	0.805894737
