Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.712926641	10.20246983	10.20246983	113423.9063	1.350000024	0	0.500526316	0.805894737
0.712984511	10.20231056	10.20231056	113411.5625	1.360000014	0	0.500526316	0.805894737
0.713042394	10.20234776	10.20234776	113443.8125	3.029999971	0	0.500526316	0.805894737
0.71310026	10.20238972	10.20238972	113418.5547	5.099999905	0	0.500526316	0.805894737
0.713158134	10.20244408	10.20244408	113434.9531	5.25	0	0.500526316	0.805894737
0.713216054	10.20234299	10.20234299	113415.4844	5.010000229	0	0.500526316	0.805894737
0.713273937	10.20227814	10.20227814	113413.6563	4.380000114	0	0.500526316	0.805894737
0.713331794	10.20233154	10.20233154	113434.0781	4.380000114	0	0.500526316	0.805894737
0.71338967	10.2022953	10.2022953	113398.0156	4.440000057	0	0.500526316	0.805894737
0.713447546	10.20244026	10.20244026	113397.8047	3.839999914	0	0.500526316	0.805894737
0.713505425	10.20235157	10.20235157	113403.6406	4.170000076	0	0.500526316	0.805894737
0.713563283	10.20235538	10.20235538	113381.8906	3.680000067	0	0.500526316	0.805894737
0.713621161	10.20252895	10.20252895	113386.1094	3.609999895	0	0.500526316	0.805894737
0.713679032	10.20239925	10.20239925	113389.9063	3.480000019	0	0.500526316	0.805894737
0.713736896	10.20217514	10.20217514	113381.7578	4.179999828	0.273000002	0.500526316	0.805894737
0.713794777	10.20235252	10.20235252	113364.9844	3.99000001	0.931999981	0.500526316	0.805894737
0.713852651	10.20235443	10.20235443	113362.2109	4.210000038	1.648000002	0.500526316	0.805894737
0.71391052	10.20235538	10.20235538	113358.5938	4	2.388000011	0.500526316	0.805894737
0.713968398	10.20231628	10.20231628	113374.1016	3.450000048	2.977999926	0.500526316	0.805894737
0.71402627	10.20228004	10.20228004	113360.2578	3.809999943	3.444999933	0.500526316	0.805894737
0.714084173	10.20253658	10.20253658	113346.0469	3.690000057	3.822999954	0.500526316	0.805894737
0.714142041	10.20249844	10.20249844	113351.7891	3.619999886	4.206999779	0.500526316	0.805894737
0.714199895	10.20242596	10.20242596	113326.4766	3.579999924	4.411999703	0.500526316	0.805894737
0.71425778	10.20227146	10.20227146	113356.3047	3.940000057	4.559999943	0.500526316	0.805894737
0.714315655	10.20234203	10.20234203	113354.0469	3.980000019	4.693999767	0.500526316	0.805894737
0.714373527	10.20231533	10.20231533	113346.8203	3.359999895	4.892000198	0.500526316	0.805894737
0.714431381	10.20241165	10.20241165	113334.9609	2.819999933	4.96600008	0.500526316	0.805894737
0.714489272	10.20231915	10.20231915	113314.2656	2.49000001	5.06099987	0.500526316	0.805894737
0.714547135	10.20252323	10.20252323	113333.6406	2.779999971	5.138999939	0.500526316	0.805894737
0.714605013	10.20246983	10.20246983	113339.6563	2.680000067	5.25	0.500526316	0.805894737
0.714662911	10.20239449	10.20239449	113332.5938	2.700000048	5.282999992	0.500526316	0.805894737
0.714720791	10.20222855	10.20222855	113340.4531	2.410000086	5.323999882	0.500526316	0.805894737
0.714778565	10.2023716	10.2023716	113342.2734	2.389999867	5.355999947	0.500526316	0.805894737
0.714836441	10.20225239	10.20225239	113345.5547	2.710000038	5.407000065	0.500526316	0.805894737
0.714894419	10.20236397	10.20236397	113343.7969	2.710000038	5.395999908	0.500526316	0.805894737
0.714952194	10.20233536	10.20233536	113340.4766	2.410000086	5.508999825	0.500526316	0.805894737
0.715010051	10.20240021	10.20240021	113347.6641	2.950000048	5.513000011	0.500526316	0.805894737
0.715067928	10.20246315	10.20246315	113338.5234	2.849999905	5.452000141	0.500526316	0.805894737
0.715125832	10.20244694	10.20244694	113327.5078	3.170000076	5.455999851	0.500526316	0.805894737
0.715183705	10.20220375	10.20220375	113313.0938	2.839999914	5.532000065	0.500526316	0.805894737
0.715241578	10.20237732	10.20237732	113325.8594	2.660000086	5.499000073	0.500526316	0.805894737
0.71529945	10.20234966	10.20234966	113327.9766	3.139999867	5.5	0.500526316	0.805894737
0.715357327	10.20233154	10.20233154	113301.4453	3.009999991	5.56099987	0.500526316	0.805894737
0.715415194	10.20226002	10.20226002	113321.7422	2.529999971	5.546999931	0.500526316	0.805894737
0.715473068	10.20245457	10.20245457	113297.9844	2.039999962	5.668000221	0.500526316	0.805894737
0.715530948	10.20244789	10.20244789	113292.5234	2.519999981	5.627999783	0.500526316	0.805894737
0.715588803	10.20237637	10.20237637	113290.5469	2.339999914	5.599999905	0.500526316	0.805894737
0.715646686	10.20231533	10.20231533	113289.6719	2.200000048	5.618999958	0.500526316	0.805894737
0.715704561	10.20228004	10.20228004	113294.0469	2.059999943	5.604000092	0.500526316	0.805894737
0.715762438	10.20224571	10.20224571	113286.8594	2.230000019	5.600999832	0.500526316	0.805894737
0.715820299	10.20231724	10.20231724	113276.5781	2.789999962	5.62899971	0.500526316	0.805894737
0.71587817	10.20229816	10.20229816	113274.7031	2.630000114	5.588999748	0.500526316	0.805894737
0.715936034	10.20226479	10.20226479	113272.0156	2.480000019	5.669000149	0.500526316	0.805894737
0.715993926	10.20255184	10.20255184	113274.0469	2.279999971	5.636000156	0.500526316	0.805894737
0.716051795	10.20242882	10.20242882	113261.9453	2.549999952	5.690000057	0.500526316	0.805894737
0.716109666	10.20234203	10.20234203	113264	2.099999905	6.070000172	0.500526316	0.805894737
0.716167519	10.20218563	10.20218563	113259.2109	2.74000001	6	0.500526316	0.805894737
0.716225405	10.20235634	10.20235634	113269.0234	2.759999991	5.820000172	0.500526316	0.805894737
0.716283276	10.20241356	10.20241356	113263.1797	2.529999971	5.840000153	0.500526316	0.805894737
0.716341154	10.20237827	10.20237827	113265.2344	2.5	5.731999874	0.500526316	0.805894737
0.716399018	10.202384	10.202384	113234.3906	2.519999981	5.659999847	0.500526316	0.805894737
0.716456898	10.20248795	10.20248795	113246.9844	2.329999924	5.581999779	0.500526316	0.805894737
0.716514761	10.2024765	10.2024765	113250.9297	2.410000086	5.527999878	0.500526316	0.805894737
0.71657263	10.20231247	10.20231247	113229.9375	2.089999914	5.510000229	0.500526316	0.805894737
0.716630511	10.20230675	10.20230675	113238.3047	1.899999976	5.513000011	0.500526316	0.805894737
0.716688378	10.20223236	10.20223236	113213.3906	1.830000043	5.524000168	0.500526316	0.805894737
0.716746243	10.2023077	10.2023077	113234.8906	2.049999952	5.543000221	0.500526316	0.805894737
0.716804118	10.2024374	10.2024374	113224.7656	2.079999924	5.541999817	0.500526316	0.805894737
0.716861999	10.20230865	10.20230865	113210.7031	2.170000076	5.676000118	0.500526316	0.805894737
0.716919861	10.20241451	10.20241451	113207.1563	1.74000001	5.65899992	0.500526316	0.805894737
0.716977742	10.20234585	10.20234585	113205.5156	1.639999986	5.623000145	0.500526316	0.805894737
0.717035612	10.20235825	10.20235825	113203.8125	1.639999986	5.619999886	0.500526316	0.805894737
0.717093479	10.20222759	10.20222759	113193.5469	1.580000043	5.576000214	0.500526316	0.805894737
0.717151351	10.20229912	10.20229912	0	1.539999962	5.532000065	0.500526316	0.805894737
0.71720922	10.20234585	10.20234585	113181.0703	1.379999995	5.619999886	0.500526316	0.805894737
