Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()				
0.664041006	10.20241356	10.20241356	110687.2344	0.25	6.686999798	0.500526316	0.805894737	57358.1424	174.9996317	0.239999995	6.638999939
0.664098857	10.20243931	10.20243931	110692.2813	0.25	6.697000027	0.500526316	0.805894737	57363.14119	179.998416	0.289999992	6.625999928
0.664156741	10.20244026	10.20244026	110673.7188	0.25	6.703000069	0.500526316	0.805894737	57368.14222	184.9994467	0.270000011	6.680999756
0.66421462	10.2025795	10.2025795	110665.4219	0.25	6.708000183	0.500526316	0.805894737	57373.14288	190.0001059	0.259999991	6.697999954
0.664272488	10.20244408	10.20244408	110657.3359	0.25	6.745999813	0.500526316	0.805894737	57378.14128	194.9985101	0.25	6.686999798
0.664330355	10.20233536	10.20233536	110675.6328	0.259999991	6.768000126	0.500526316	0.805894737	57383.14243	199.9996618	0.25	6.697000027
0.664388213	10.20242882	10.20242882	110656.1641	0.259999991	6.715000153	0.500526316	0.805894737	57388.14314	205.0003728	0.25	6.703000069
0.664446089	10.20244122	10.20244122	110654.5234	0.270000011	6.730000019	0.500526316	0.805894737	57393.14293	210.0001594	0.25	6.708000183
0.664503949	10.20255089	10.20255089	110671.9766	0.270000011	6.768000126	0.500526316	0.805894737	57398.14267	214.9999027	0.25	6.745999813
0.66456184	10.20244217	10.20244217	110658.7422	0.280000001	6.745999813	0.500526316	0.805894737	57403.14159	219.9988253	0.259999991	6.768000126
0.664619703	10.20240021	10.20240021	110659.0938	0.280000001	6.75399971	0.500526316	0.805894737	57408.1421	224.999329	0.259999991	6.715000153
0.664677571	10.20253658	10.20253658	110660.3125	0.289999992	6.710999966	0.500526316	0.805894737	57413.14123	229.9984589	0.270000011	6.730000019
0.664735452	10.20256901	10.20256901	110645.2656	0.300000012	6.671999931	0.500526316	0.805894737	57418.14299	235.000224	0.270000011	6.768000126
0.664793306	10.20249462	10.20249462	110640.7031	0.329999983	6.668000221	0.500526316	0.805894737	57423.14237	239.9995958	0.280000001	6.745999813
0.664851192	10.20232391	10.20232391	110649.125	0.349999994	6.62899971	0.500526316	0.805894737	57428.14213	244.9993651	0.280000001	6.75399971
0.66490904	10.20242214	10.20242214	110619.8516	0.349999994	6.626999855	0.500526316	0.805894737	57433.14308	250.0003094	0.289999992	6.710999966
0.664966915	10.20246506	10.20246506	110640.625	0.349999994	6.617000103	0.500526316	0.805894737	57438.14166	254.998895	0.300000012	6.671999931
0.665024783	10.20246601	10.20246601	110630.3281	0.349999994	6.618999958	0.500526316	0.805894737	57443.14299	260.0002195	0.329999983	6.668000221
0.665082653	10.20248127	10.20248127	110632.9063	0.360000014	6.578999996	0.500526316	0.805894737	57448.14108	264.9983126	0.349999994	6.62899971
0.665140538	10.20250797	10.20250797	110613.1719	0.529999971	6.565000057	0.500526316	0.805894737	57453.14146	269.9986867	0.349999994	6.626999855
0.665198414	10.2025938	10.2025938	110628.1641	0.49000001	6.578999996	0.500526316	0.805894737	57458.14124	274.9984733	0.349999994	6.617000103
0.665256273	10.2024622	10.2024622	110624.8281	0.449999988	6.613999844	0.500526316	0.805894737	57463.14125	279.9984845	0.349999994	6.618999958
0.665314134	10.20244598	10.20244598	110627.0234	0.449999988	6.653999806	0.500526316	0.805894737	57468.14244	284.9996707	0.360000014	6.578999996
0.66537201	10.20231628	10.20231628	110622.1563	0.449999988	6.613999844	0.500526316	0.805894737	57473.14294	290.0001744	0.529999971	6.565000057
0.665429883	10.20245266	10.20245266	110635.7969	0.460000008	6.638999939	0.500526316	0.805894737	57478.14196	294.999192	0.49000001	6.578999996
0.665487754	10.20244026	10.20244026	110622.3125	0.469999999	6.636000156	0.500526316	0.805894737	57483.14117	299.9983997	0.449999988	6.613999844
0.665545632	10.20250607	10.20250607	110613.5781	0.49000001	6.684999943	0.500526316	0.805894737	57488.1417	304.9989293	0.449999988	6.653999806
0.6656035	10.20237446	10.20237446	110618.0234	0.519999981	6.712999821	0.500526316	0.805894737	57493.14185	309.9990787	0.449999988	6.613999844
0.665661362	10.20249081	10.20249081	110607.8984	0.540000022	6.709000111	0.500526316	0.805894737	57498.14198	314.9992109	0.460000008	6.638999939
0.665719238	10.20248032	10.20248032	110607.9688	0.560000002	6.677000046	0.500526316	0.805894737	57503.1426	319.9998355	0.469999999	6.636000156
0.665777111	10.20244122	10.20244122	110603.1797	0.589999974	6.69299984	0.500526316	0.805894737	57508.14237	324.9995962	0.49000001	6.684999943
0.66583498	10.20238209	10.20238209	110622.6016	0.620000005	6.743000031	0.500526316	0.805894737	57513.14169	329.9989248	0.519999981	6.712999821
0.665892855	10.20240498	10.20240498	110623.6172	0.639999986	6.738999844	0.500526316	0.805894737	57518.14215	334.9993766	0.540000022	6.709000111
0.665950756	10.20238018	10.20238018	110631.7266	0.670000017	6.717999935	0.500526316	0.805894737	57523.14241	339.9996384	0.560000002	6.677000046
0.666008618	10.20236588	10.20236588	110634.4766	0.699999988	6.725999832	0.500526316	0.805894737	57528.1423	344.9995286	0.589999974	6.69299984
0.666066493	10.20245647	10.20245647	110647.0625	0.730000019	6.720999718	0.500526316	0.805894737	57533.14265	349.9998768	0.620000005	6.743000031
0.666124356	10.2023859	10.2023859	110647.5625	0.769999981	6.717000008	0.500526316	0.805894737	57538.14534	355.002575	0.639999986	6.738999844
0.66618223	10.20254803	10.20254803	110658.8359	0.810000002	6.699999809	0.500526316	0.805894737	57543.14456	360.0017914	0.670000017	6.717999935
0.666240115	10.20248127	10.20248127	110680.6797	0.839999974	6.697000027	0.500526316	0.805894737	57548.14503	365.0022605	0.699999988	6.725999832
0.666297974	10.20235825	10.20235825	110665.6641	0.870000005	6.722000122	0.500526316	0.805894737	57553.14438	370.0016064	0.730000019	6.720999718
0.66635585	10.20239735	10.20239735	110693.1953	0.920000017	6.769000053	0.500526316	0.805894737	57558.14463	375.0018595	0.769999981	6.717000008
0.666413708	10.2024765	10.2024765	110677.7422	0.949999988	6.741000176	0.500526316	0.805894737	57563.14597	380.0032013	0.810000002	6.699999809
0.666471582	10.20244408	10.20244408	110681.8672	1	6.748000145	0.500526316	0.805894737	57568.14493	385.0021584	0.839999974	6.697000027
0.666529464	10.20255756	10.20255756	110686.0781	1.039999962	6.739999771	0.500526316	0.805894737	57573.14541	390.0026448	0.870000005	6.722000122
0.666587316	10.20231247	10.20231247	110696.0625	1.080000043	6.752999783	0.500526316	0.805894737	57578.14439	395.0016192	0.920000017	6.769000053
0.6666452	10.20257759	10.20257759	110702.2969	1.120000005	6.712999821	0.500526316	0.805894737	57583.14471	400.0019414	0.949999988	6.741000176
0.666703063	10.20245075	10.20245075	110704.875	1.159999967	6.710999966	0.500526316	0.805894737	57588.14565	405.0028771	1	6.748000145
0.666760894	10.20240593	10.20240593	110715.0781	1.210000038	6.703000069	0.500526316	0.805894737	57593.1441	410.0013331	1.039999962	6.739999771
0.666818861	10.20236206	10.20236206	110718.7969	1.25	6.698999882	0.500526316	0.805894737	57598.14524	415.0024675	1.080000043	6.752999783
0.666876738	10.20247936	10.20247936	110726.2656	1.299999952	6.711999893	0.500526316	0.805894737	57603.14462	420.001848	1.120000005	6.712999821
0.666934606	10.20245075	10.20245075	110722.6094	1.340000033	6.75699997	0.500526316	0.805894737	57608.14128	424.9985069	1.159999967	6.710999966
0.66699244	10.20241451	10.20241451	110739.6719	1.379999995	6.774000168	0.500526316	0.805894737	57613.14956	430.0067866	1.210000038	6.703000069
0.667050305	10.20250034	10.20250034	110747.6797	1.429999948	6.742000103	0.500526316	0.805894737	57618.15013	435.0073594	1.25	6.698999882
0.667108192	10.20240974	10.20240974	110756.9922	1.460000038	6.77699995	0.500526316	0.805894737	57623.14995	440.0071805	1.299999952	6.711999893
0.667166061	10.20251465	10.20251465	110766.3359	1.5	6.804999828	0.500526316	0.805894737	57628.14685	445.0040813	1.340000033	6.75699997
0.667223936	10.20253277	10.20253277	110752.4453	1.539999962	6.81799984	0.500526316	0.805894737	57633.14636	450.0035914	1.379999995	6.774000168
0.667281741	10.20240688	10.20240688	110768.7813	1.590000033	6.823999882	0.500526316	0.805894737	57638.14781	455.0050368	1.429999948	6.742000103
0.66733961	10.2023716	10.2023716	110770.7578	1.649999976	6.775000095	0.500526316	0.805894737	57643.14763	460.0048579	1.460000038	6.77699995
0.667397481	10.20250034	10.20250034	110772.9453	1.690000057	6.743000031	0.500526316	0.805894737	57648.14804	465.0052666	1.5	6.804999828
0.667455387	10.20241737	10.20241737	110798.25	1.74000001	6.725999832	0.500526316	0.805894737	57653.14241	469.9996358	1.539999962	6.81799984
0.667513235	10.20246029	10.20246029	110800.0859	1.789999962	6.704999924	0.500526316	0.805894737	57658.14231	474.9995434	1.590000033	6.823999882
0.667571117	10.202425	10.202425	110784.1875	1.830000043	6.702000141	0.500526316	0.805894737	57663.14235	479.9995805	1.649999976	6.775000095
