Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.477102291	10.20237637	10.20237637	113176.1563	6.989999771	0	0.500526316	0.805894737
0.477160162	10.20230484	10.20230484	113175.0781	8.970000267	0	0.500526316	0.805894737
0.477218043	10.20244408	10.20244408	113175.9922	10.13000011	0	0.500526316	0.805894737
0.477275915	10.20250988	10.20250988	113174.6797	9.699999809	0	0.500526316	0.805894737
0.477333779	10.20263672	10.20263672	113187.2813	8.18999958	0	0.500526316	0.805894737
0.477391645	10.20240879	10.20240879	113197.2031	6.739999771	0	0.500526316	0.805894737
0.477449527	10.20225525	10.20225525	113187.0547	5.480000019	0	0.500526316	0.805894737
0.477507381	10.20241833	10.20241833	113183.1094	4.940000057	0	0.500526316	0.805894737
0.477565249	10.20232868	10.20232868	113205.7109	5.039999962	0	0.500526316	0.805894737
0.477623135	10.20234966	10.20234966	113203.0547	4.539999962	0	0.500526316	0.805894737
0.477681012	10.20242405	10.20242405	113205.1172	5	0	0.500526316	0.805894737
0.477738914	10.20236492	10.20236492	113201.0469	4.260000229	0.007999999	0.500526316	0.805894737
0.477796732	10.20255947	10.20255947	113207.2813	3.650000095	0.192000002	0.500526316	0.805894737
0.477854588	10.20238876	10.20238876	113208.2969	3.279999971	0.564000011	0.500526316	0.805894737
0.477912459	10.20242214	10.20242214	113209.9453	3.339999914	1.230000019	0.500526316	0.805894737
0.477970337	10.20234871	10.20234871	113218.5469	3.710000038	2.138999939	0.500526316	0.805894737
0.4780282	10.20239449	10.20239449	113206.2734	3.579999924	3.068000078	0.500526316	0.805894737
0.47808607	10.202384	10.202384	113213.4766	2.980000019	4.073999882	0.500526316	0.805894737
0.478143937	10.20235443	10.20235443	113218.5781	2.829999924	5.041999817	0.500526316	0.805894737
0.478201805	10.20244122	10.20244122	113200.2109	2.329999924	5.715000153	0.500526316	0.805894737
0.478259667	10.20256996	10.20256996	113228.8594	2.279999971	6.263000011	0.500526316	0.805894737
0.478317545	10.20248699	10.20248699	113211.25	2.569999933	6.669000149	0.500526316	0.805894737
0.478375424	10.2024765	10.2024765	113220.5703	2.430000067	6.93200016	0.500526316	0.805894737
0.47843333	10.20226765	10.20226765	113218.8438	2.910000086	7.157000065	0.500526316	0.805894737
0.478491164	10.20239258	10.20239258	113221.3594	2.440000057	7.25699997	0.500526316	0.805894737
0.478549042	10.20240116	10.20240116	113223.5391	2.589999914	7.304999828	0.500526316	0.805894737
0.478606908	10.20232582	10.20232582	113197.4922	2.230000019	7.394999981	0.500526316	0.805894737
0.478664784	10.20240116	10.20240116	113225.5234	2.549999952	7.406000137	0.500526316	0.805894737
0.478722707	10.2024107	10.2024107	113213.0469	3.089999914	7.369999886	0.500526316	0.805894737
0.478780567	10.20252228	10.20252228	113211.0234	3.220000029	7.309999943	0.500526316	0.805894737
0.47883844	10.20249462	10.20249462	113220.1094	2.99000001	7.37899971	0.500526316	0.805894737
0.478896332	10.20232582	10.20232582	113205.375	2.75	7.322000027	0.500526316	0.805894737
0.478954218	10.20244694	10.20244694	113217.8984	2.369999886	7.290999889	0.500526316	0.805894737
0.479012092	10.20246315	10.20246315	113220.7188	2.130000114	7.281000137	0.500526316	0.805894737
0.479069948	10.2024498	10.2024498	113233.8359	2.299999952	7.263000011	0.500526316	0.805894737
0.479127713	10.20240593	10.20240593	113224.0078	2.25	7.25699997	0.500526316	0.805894737
0.479185625	10.20236778	10.20236778	113207.0234	2.420000076	7.235000134	0.500526316	0.805894737
0.479243486	10.2025795	10.2025795	113218.2344	2.329999924	7.125	0.500526316	0.805894737
0.479301359	10.20246506	10.20246506	113208.0625	2.190000057	7.103000164	0.500526316	0.805894737
0.479359235	10.20246315	10.20246315	113221.3125	2.200000048	7.099999905	0.500526316	0.805894737
0.479417098	10.20233727	10.20233727	113211.7813	2.079999924	7.09800005	0.500526316	0.805894737
0.479474981	10.20241642	10.20241642	113218.7813	2.369999886	7.048999786	0.500526316	0.805894737
0.47953283	10.20246601	10.20246601	113224.6328	2.24000001	7.017000198	0.500526316	0.805894737
0.479590703	10.20236588	10.20236588	113215.1875	2.329999924	6.992000103	0.500526316	0.805894737
0.479648592	10.20241642	10.20241642	113227.9766	3.089999914	6.986999989	0.500526316	0.805894737
0.47970646	10.2025013	10.2025013	113217.2578	2.700000048	6.974999905	0.500526316	0.805894737
0.479764329	10.20246792	10.20246792	113232.6875	2.309999943	7.052000046	0.500526316	0.805894737
0.479822181	10.2025404	10.2025404	113219.0078	2.230000019	7.062999725	0.500526316	0.805894737
0.479880063	10.20236206	10.20236206	113210.7891	2.109999895	7.09499979	0.500526316	0.805894737
0.479937928	10.20250702	10.20250702	113214.6328	2.200000048	7	0.500526316	0.805894737
0.479995798	10.20236778	10.20236778	113222.4766	2.450000048	6.914000034	0.500526316	0.805894737
0.480053687	10.20229816	10.20229816	113231.6328	2.180000067	6.895999908	0.500526316	0.805894737
0.480111554	10.20228004	10.20228004	113210.2344	3.220000029	6.892000198	0.500526316	0.805894737
0.480169404	10.20243168	10.20243168	113238.1484	2.609999895	6.934999943	0.500526316	0.805894737
0.480227274	10.20254326	10.20254326	113231.7578	2.650000095	6.921999931	0.500526316	0.805894737
0.480285154	10.20238018	10.20238018	113225.4766	2.450000048	6.868999958	0.500526316	0.805894737
0.480343023	10.20236778	10.20236778	113257.3438	2.75	6.821000099	0.500526316	0.805894737
0.480400895	10.20245171	10.20245171	113220.6875	2.569999933	6.853000164	0.500526316	0.805894737
0.480458757	10.20238686	10.20238686	113239.125	2.839999914	6.909999847	0.500526316	0.805894737
0.480516741	10.2024231	10.2024231	113241.2188	2.900000095	6.963999748	0.500526316	0.805894737
0.480574508	10.20234966	10.20234966	113227.0625	2.940000057	6.967000008	0.500526316	0.805894737
0.480632381	10.20239449	10.20239449	113248.4766	2.880000114	6.929999828	0.500526316	0.805894737
0.480690367	10.20256805	10.20256805	113241.6641	2.889999867	6.875	0.500526316	0.805894737
0.480748122	10.20244026	10.20244026	113234.0938	2.509999991	6.794000149	0.500526316	0.805894737
0.480806096	10.20242596	10.20242596	113248.6797	2.789999962	6.761000156	0.500526316	0.805894737
0.480863966	10.20234108	10.20234108	113255.6484	3.230000019	6.774000168	0.500526316	0.805894737
0.480921729	10.20232391	10.20232391	113242.1094	3.5	6.804999828	0.500526316	0.805894737
0.480979705	10.20230293	10.20230293	113234.6875	2.930000067	6.803999901	0.500526316	0.805894737
0.481037582	10.20239449	10.20239449	113253.3438	2.680000067	6.775000095	0.500526316	0.805894737
0.481095343	10.20226002	10.20226002	113240.4844	2.589999914	6.771999836	0.500526316	0.805894737
0.48115332	10.20241547	10.20241547	113223.2734	2.889999867	6.736000061	0.500526316	0.805894737
0.481211083	10.20252991	10.20252991	113226.1641	2.569999933	6.723999977	0.500526316	0.805894737
0.481269062	10.20238209	10.20238209	113216.875	2.400000095	6.752999783	0.500526316	0.805894737
0.481326945	10.20219231	10.20219231	113249.3203	2.539999962	6.760000229	0.500526316	0.805894737
0.481384796	10.20226765	10.20226765	113222.6172	2.420000076	6.742000103	0.500526316	0.805894737
0.481442687	10.20233154	10.20233154	113222.5469	2.349999905	6.735000134	0.500526316	0.805894737
0.481500544	10.20239353	10.20239353	113234.8047	2.210000038	6.775000095	0.500526316	0.805894737
0.481558404	10.2024374	10.2024374	113226.5391	2.369999886	6.736999989	0.500526316	0.805894737
0.48161629	10.20244789	10.20244789	113236.5781	2.660000086	6.722000122	0.500526316	0.805894737
0.481674158	10.20242977	10.20242977	113238.9141	2.619999886	6.687999725	0.500526316	0.805894737
0.481732035	10.2023344	10.2023344	113235.7188	2.269999981	6.666999817	0.500526316	0.805894737
0.481789886	10.20223618	10.20223618	113253.9219	2.539999962	6.669000149	0.500526316	0.805894737
0.48184777	10.20226574	10.20226574	113234.5156	2.289999962	6.711999893	0.500526316	0.805894737
0.481905633	10.20237541	10.20237541	113234.7031	2.059999943	6.676000118	0.500526316	0.805894737
0.48196351	10.20238304	10.20238304	113244.7578	3.139999867	6.71600008	0.500526316	0.805894737
0.482021366	10.20234966	10.20234966	113226.3906	2.829999924	6.789000034	0.500526316	0.805894737
0.48207924	10.20233154	10.20233154	113226.4219	3.450000048	6.802000046	0.500526316	0.805894737
0.482137106	10.20246983	10.20246983	113216.75	2.880000114	6.71999979	0.500526316	0.805894737
0.482194984	10.20223713	10.20223713	113244.6484	2.470000029	6.644000053	0.500526316	0.805894737
0.482252853	10.20222855	10.20222855	113225.9453	2.200000048	6.618000031	0.500526316	0.805894737
0.482310737	10.20239162	10.20239162	113221.8438	2.029999971	6.631000042	0.500526316	0.805894737
0.482368588	10.20240879	10.20240879	113216.9922	2.440000057	6.677000046	0.500526316	0.805894737
0.482426471	10.20250988	10.20250988	113227.2109	2.170000076	6.660999775	0.500526316	0.805894737
0.482484335	10.20233631	10.20233631	113215.7891	2.089999914	6.586999893	0.500526316	0.805894737
0.482542204	10.20236588	10.20236588	113223.6406	1.970000029	6.605000019	0.500526316	0.805894737
0.482600079	10.20262337	10.20262337	113233.8359	2.549999952	6.635000229	0.500526316	0.805894737
