Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.658093613	0.158660278	3.553493738	104142.75
0.658105185	0.158799768	3.553419113	104142.75
0.658116699	0.158763215	3.553438664	104142.75
0.658128273	0.158653587	3.553497315	104142.75
0.658139845	0.158713311	3.553465366	104142.75
0.658151431	0.158757433	3.553441763	104142.75
0.658162999	0.158745393	3.5534482	104142.75
0.658174653	0.159080997	3.553268671	104142.75
0.658186209	0.15880689	3.553415299	104142.75
0.658197781	0.158691019	3.553477287	104142.75
0.65820936	0.158624619	3.553512812	104142.75
0.658220935	0.158592969	3.553529739	104142.75
0.65823245	0.158663392	3.553492069	104142.75
0.65824403	0.158762783	3.553438902	104142.75
0.658255585	0.158674985	3.55348587	104142.75
0.658267163	0.158767685	3.553436279	104142.75
0.658278735	0.158789963	3.553424358	104142.75
0.658290374	0.158829182	3.553403378	104142.75
0.658301953	0.158828288	3.553403854	104142.75
start			
0.658313523	0.158635318	3.55350709	104142.75
0.658325101	0.158760548	3.553440094	104142.75
0.658336674	0.158736929	3.55345273	104142.75
0.658348266	0.158783272	3.553427935	104142.75
0.658359723	0.158753857	3.55344367	104142.75
0.658371404	0.158647791	3.553500414	104142.75
0.658382987	0.158678994	3.553483725	104142.75
0.658394456	0.158610806	3.553520203	104142.75
0.658406065	0.158851907	3.553391218	104142.75
0.658417628	0.159531593	3.55302763	104142.75
0.658429219	0.160495728	3.552511931	104142.75
0.658440783	0.163148388	3.55109334	104142.75
0.658452364	0.16874291	3.548102856	104142.75
0.658463922	0.172724471	3.545975685	104142.75
0.658475493	0.177804127	3.543263197	104142.75
0.658487071	0.182671249	3.540665627	104142.75
0.658498642	0.19011882	3.536693573	104142.75
0.658510224	0.198536187	3.532208204	104142.75
0.658521812	0.195316955	3.533923149	104142.75
0.658533372	0.196881458	3.533089638	104142.75
0.658544951	0.203534469	3.529546738	104142.75
0.658556544	0.215989947	3.522920847	104142.75
0.65856811	0.226739004	3.517210007	104142.75
0.658579674	0.237072378	3.511726379	104142.75
0.658591248	0.246014401	3.506986141	104142.75
0.658602837	0.250444591	3.504639387	104142.75
0.658614397	0.297990501	3.479525328	104142.75
0.658625987	0.348649502	3.452911139	104142.75
0.658637595	0.410104811	3.420823574	104142.75
0.658649177	0.462725788	3.393520594	104142.75
0.658660742	0.603024125	3.321493387	104142.75
0.658672313	0.891887546	3.176651478	104142.75
0.658683903	1.082580805	3.083526611	104142.75
0.658695519	1.276251197	2.990927219	104142.75
0.658706975	1.306067467	2.976845741	104142.75
0.658718533	1.212936401	3.020982981	104142.75
0.658730123	1.634133577	2.82492137	104142.75
0.658741679	2.109587431	2.614253998	104142.75
0.658753245	2.13608551	2.602834225	104142.75
0.658764825	2.451792002	2.469306946	104142.75
0.658776404	2.447632551	2.471036196	104142.75
0.658787978	2.330615759	2.520010233	104142.75
0.65879954	2.606402397	2.405587912	104142.75
0.658811212	2.864314079	2.301679373	104142.75
0.658822783	3.046230555	2.230141878	104142.75
0.658834364	3.414279699	2.089716196	104142.75
0.658845933	3.489266872	2.061796427	104142.75
0.658857497	3.278045416	2.141033173	104142.75
0.658869009	3.307785034	2.129765034	104142.75
0.658880585	4.027943611	1.867864728	104142.75
0.658892165	4.212003231	1.804192424	104142.75
0.658903734	3.920614243	1.905593276	104142.75
0.658915319	4.36202383	1.753241181	104142.75
0.658926877	4.683386803	1.646887302	104142.75
0.658938448	4.856075764	1.591271401	104142.75
0.65895002	4.946631432	1.562527061	104142.75
0.658961596	5.042834759	1.532302141	104142.75
0.658973165	5.185319424	1.488120556	104142.75
0.658984799	5.48455286	1.397559524	104142.75
0.658996382	5.440963745	1.410566568	104142.75
0.659007964	6.002529621	1.247677207	104142.75
