Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.644000089	6.300195694	1.165332198	106405.6641
0.644057968	6.247099876	1.179823399	106398.2578
0.644115858	6.04730463	1.235117793	106417.5078
0.644173809	6.040880203	1.236916065	106396.3984
0.64423167	5.957912445	1.260254026	106415.3594
0.644289547	5.790942192	1.307871938	106427.3359
0.644347329	5.823381424	1.298552036	106439.9922
0.644405245	5.645248413	1.350142956	106431.1719
0.644463166	5.602680206	1.362622023	106449.6563
0.644521057	5.444266796	1.4095788	106456.7813
0.644578884	5.315944195	1.44822073	106449.5859
0.644636767	5.179911137	1.489784956	106448.6484
0.644694696	5.126754761	1.506196499	106473.7031
0.644752467	5.071630001	1.523317337	106466.0313
0.644810337	5.014077187	1.541303635	106464.0859
0.644868264	4.921971321	1.570326328	106477.7109
0.644926141	4.894162655	1.579146862	106503.25
0.644983986	4.773044109	1.617880464	106509.4453
0.645041874	4.662408352	1.653715849	106492.7344
0.645099696	4.529607773	1.697310686	106503.4375
0.645157645	4.417593002	1.734580636	106501.0156
0.645215558	4.387993336	1.744506121	106521.1563
0.645273335	4.320815563	1.767152906	106521.5859
0.645331304	4.227416992	1.798918724	106530.3047
0.645389175	4.202651024	1.80739677	106524.7578
0.645447068	4.156511307	1.823253393	106538.3906
0.645504858	4.038448334	1.864196062	106556.7813
0.645562712	3.920300245	1.90570426	106537.8984
0.645620581	3.868281603	1.92415154	106543.1172
0.645678566	3.756100178	1.964295387	106558.6719
0.645736352	3.756435156	1.964174748	106543.4609
0.645794322	3.618668556	2.014155388	106570.5
0.645852161	3.401058674	2.094662666	106578.7188
0.645909953	3.428848505	2.084273815	106583.0938
0.645967842	3.450399876	2.076238871	106588.8672
0.646025762	3.405661345	2.092939854	106590.4375
0.646083651	3.308537722	2.129480362	106582.1172
0.646141479	3.106971026	2.206573248	106596.0547
0.646199354	3.149778128	2.190057516	106604.8828
0.646257222	3.09769845	2.210160971	106595.2969
0.646315185	3.048622847	2.229210615	106619.3828
0.646372977	2.935199261	2.273633719	106608.4297
0.646430854	2.96164608	2.263226032	106605.1016
0.646488814	2.869582892	2.29958725	106617.4141
0.64654659	2.814336062	2.32158494	106621.9297
0.646604529	2.690226078	2.371492624	106618.2813
0.646662427	2.628083468	2.396739006	106638.5703
0.646720269	2.605792284	2.405837297	106634.1797
0.64677817	2.553932667	2.427090645	106633.0703
0.646836049	2.521854878	2.440297842	106641.2266
0.646893832	2.465614557	2.463566065	106638.0391
0.646951759	2.412023306	2.485872746	106666.5625
0.647009692	2.351917267	2.511048079	106645.5391
0.647067532	2.275972128	2.543096781	106646.1797
0.647125353	2.16928196	2.588574648	106648.4766
0.647183201	2.145864487	2.598628283	106645.9453
0.647241181	2.13552165	2.603076935	106657.5
0.647299022	2.046963453	2.641375542	106646.9844
0.647356858	1.999421954	2.662090302	106657.0781
0.647414738	1.924648762	2.694890499	106666.2656
0.647472644	1.932949305	2.691236019	106665.5781
0.6475305	1.821166754	2.740731716	106681.2578
0.647588378	1.827566862	2.737881422	106685.2656
0.647646191	1.778078079	2.759974003	106684.3672
0.647704058	1.72821641	2.78235507	106666.9688
0.647762002	1.708719254	2.79114008	106684.2266
0.647819885	1.588369846	2.845786333	106678.5156
0.647877693	1.564410806	2.856751919	106670.1719
0.647935607	1.502870083	2.885050774	106688.9297
0.647993505	1.491696477	2.890209436	106688.3281
0.648051304	1.417155266	2.924786568	106692.1875
0.648109265	1.358050942	2.952405453	106704.0625
0.648167139	1.37276113	2.945514679	106685.7813
0.648225001	1.315646648	2.972331524	106704.7422
0.64828284	1.284264803	2.987138033	106705.8359
0.648340671	1.262444019	2.997463703	106708.7656
0.648398515	1.214965582	3.020016432	106709.8984
0.648456508	1.142742515	3.054549933	106716.2969
0.648514301	1.083117127	3.08326745	106717.9219
0.648572155	1.070845604	3.089201212	106715.125
0.648630048	1.04855454	3.100000382	106708.0938
0.648687884	0.988078475	3.12943244	106715.6094
0.648745799	0.946333408	3.149863243	106712.9922
0.648803633	0.957744777	3.14426899	106716.3672
0.648861591	0.923689365	3.160984993	106726.1484
0.648919355	0.885457993	3.179825544	106724.5781
0.648977264	0.853314638	3.195727348	106713.9141
0.649035128	0.781935155	3.231241703	106727.7422
0.649093012	0.782503188	3.230957985	106715.9688
0.649150941	0.752606213	3.245915175	106705.4766
0.649208777	0.713599801	3.265503883	106723.2656
0.649266649	0.713722527	3.265442133	106730.8594
0.649324573	0.67194581	3.286515236	106725.5625
0.649382341	0.642005622	3.301677465	106732.7422
0.649440269	0.588466704	3.328915358	106724.1406
0.649498119	0.542969763	3.352188349	106725.0078
0.649556044	0.516035259	3.366021156	106718.2188
0.649613917	0.502532423	3.372971296	106734.2578
