Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.641241634	0.158043489	3.55382371	104142.75
0.641253216	0.158084482	3.553801775	104142.75
0.641264781	0.158012733	3.55384016	104142.75
0.641276251	0.157990009	3.55385232	104142.75
0.641287928	0.158053294	3.553818464	104142.75
0.6412995	0.158001155	3.553846359	104142.75
0.641311076	0.158076465	3.553806067	104142.75
0.641322645	0.158086717	3.553800583	104142.75
start			
0.641334225	0.158122808	3.553781271	104142.75
0.641345809	0.158216834	3.553730965	104142.75
0.641357373	0.158126816	3.553779125	104142.75
0.641368958	0.158158466	3.553762198	104142.75
0.641380425	0.158194557	3.553742886	104142.75
0.641392094	0.15807423	3.553807259	104142.75
0.641403679	0.158104092	3.553791285	104142.75
0.64141525	0.158076018	3.553806305	104142.75
0.641426817	0.158065766	3.553811789	104142.75
0.641438385	0.158214614	3.553732157	104142.75
0.641449968	0.158080921	3.553803682	104142.75
0.641461544	0.158138856	3.553772688	104142.75
0.641473116	0.15820615	3.553736687	104142.75
0.641484683	0.158099189	3.553793907	104142.75
0.641496262	0.158205703	3.553736925	104142.75
0.641507779	0.158043042	3.553823948	104142.75
0.641519354	0.158201248	3.553739309	104142.75
0.641530912	0.158456609	3.553602696	104142.75
0.641542481	0.158818036	3.553409338	104142.75
0.641554065	0.159006119	3.553308725	104142.75
0.641565683	0.159303844	3.553149462	104142.75
0.641577259	0.159336373	3.553132057	104142.75
0.641588811	0.159780756	3.552894354	104142.75
0.641600406	0.160445362	3.552538872	104142.75
0.641611984	0.160842538	3.552326441	104142.75
0.641623513	0.162271366	3.551562309	104142.75
0.641635087	0.162939265	3.551205158	104142.75
0.641646674	0.162191108	3.551605225	104142.75
0.64165824	0.162609771	3.55138135	104142.75
0.641669819	0.164353713	3.550448895	104142.75
0.641681398	0.165705487	3.549726248	104142.75
0.641692969	0.167719469	3.548649788	104142.75
0.641704541	0.169766024	3.547556162	104142.75
0.64171612	0.170219839	3.54731369	104142.75
0.641727706	0.17020601	3.547321081	104142.75
0.641739241	0.171667099	3.546540499	104142.75
0.64175081	0.172934711	3.54586339	104142.75
0.641762397	0.17456232	3.544994116	104142.75
0.641773954	0.177564308	3.543391228	104142.75
0.641785533	0.179306209	3.542461395	104142.75
0.641797212	0.178737149	3.542765141	104142.75
0.641808669	0.186034873	3.538871288	104142.75
0.641820352	0.192027286	3.535676241	104142.75
0.64183182	0.193948239	3.534652472	104142.75
0.641843389	0.201404616	3.530680656	104142.75
0.641855056	0.200071693	3.531390429	104142.75
0.641866642	0.200642541	3.531086445	104142.75
0.641878209	0.201835826	3.530451059	104142.75
0.641889791	0.205989167	3.528240204	104142.75
0.641901355	0.212334126	3.524864674	104142.75
0.641912896	0.217128724	3.522315502	104142.75
0.641924471	0.222849965	3.519275427	104142.75
0.641936037	0.24287501	3.508649826	104142.75
0.64194763	0.24737072	3.506267548	104142.75
0.641959187	0.246791989	3.506574154	104142.75
0.641970802	0.25103572	3.504326344	104142.75
0.641982374	0.273187608	3.492609978	104142.75
0.64199395	0.273927808	3.492218971	104142.75
0.642005518	0.295937955	3.480606794	104142.75
0.642017096	0.331155956	3.46208477	104142.75
0.642028625	0.376033276	3.438586474	104142.75
0.642040206	0.404794723	3.423587561	104142.75
0.642051773	0.800551355	3.221952438	104142.75
0.64206333	1.105849862	3.072296381	104142.75
0.642074904	1.384595752	2.939979076	104142.75
0.642086457	1.574092388	2.852317333	104142.75
0.642098035	1.715623379	2.788027048	104142.75
0.64210961	1.69328332	2.798108578	104142.75
0.642121191	1.675402761	2.806195498	104142.75
0.642132764	1.630751133	2.826459885	104142.75
0.642144424	1.73705399	2.778379202	104142.75
0.642155888	1.990085125	2.666171312	104142.75
0.642167567	2.35169816	2.511140108	104142.75
0.64217904	2.447554588	2.471068621	104142.75
0.642190713	2.371703386	2.502742291	104142.75
0.642202237	2.444267511	2.472435713	104142.75
0.642213822	2.477587938	2.458600283	104142.75
0.642225383	2.783692598	2.333844185	104142.75
0.642236964	3.136216879	2.195281267	104142.75
0.642248542	3.431665659	2.083222389	104142.75
0.64226009	3.597525358	2.021893263	104142.75
0.642271659	3.658253908	1.999716401	104142.75
0.642283256	3.525622606	2.048342943	104142.75
0.642294813	3.406993628	2.09244132	104142.75
0.642306404	3.630230665	2.009931564	104142.75
0.642318031	3.747040272	1.967559099	104142.75
0.642329611	3.965545178	1.889744878	104142.75
0.642341182	4.17562294	1.816675544	104142.75
0.642352757	4.229007244	1.798375011	104142.75
0.642364323	4.192918301	1.810734868	104142.75
0.642375864	4.405691624	1.738567591	104142.75
0.642387448	4.640240192	1.660948753	104142.75
0.642399016	4.648612976	1.658214808	104142.75
0.642410591	5.172338963	1.492116928	104142.75
0.64242217	5.480368137	1.398805499	104142.75
0.642433759	5.979385376	1.254193425	104142.75
0.642445345	6.134496689	1.210837245	104142.75
0.642456909	5.94700098	1.263339162	104142.75
0.642468491	6.151878834	1.206024647	104142.75
0.642480053	6.49966526	1.111642242	104142.75
0.642491571	6.670052528	1.066704512	104142.75
0.642503148	6.142254829	1.20868814	104142.75
0.642514718	5.778738976	1.311386585	104142.75
0.642526303	6.087465763	1.223905087	104142.75
0.642537858	6.548902035	1.09856987	104142.75
0.642549454	6.554307938	1.097138882	104142.75
0.642561027	6.698220253	1.059356332	104142.75
0.642572599	6.701139927	1.058596015	104142.75
0.642584179	7.216444969	0.928153932	104142.75
0.642595758	7.046079636	0.970463574	104142.75
